R_POTEMP,R_TEMP,R_DEPTH,R_SALINITY,R_SIGMA,R_SVA,R_DYNHT,R_PRES,R_O2,R_O2Sat
4.98,5.02,488,34.11,26.97,113.1,0.85,492,3.105388,50.474572
4.93,4.97,500,34.113,26.98,112.5,0.86,504,3.105388,50.474572
4.54,4.59,600,34.135,27.04,107.3,0.97,605,3.105388,50.474572
4.26,4.31,700,34.151,27.08,103.8,1.08,706,3.105388,50.474572
4.08,4.14,789,34.16,27.11,102,1.17,796,3.105388,50.474572
4.05,4.11,800,34.169,27.12,101,1.18,807,3.105388,50.474572
3.82,3.89,900,34.252,27.2,93.2,1.28,908,3.105388,50.474572
3.59,3.66,1000,34.336,27.3,85.1,1.37,1009,3.105388,50.474572
3.35,3.43,1100,34.421,27.39,76.8,1.45,1110,3.105388,50.474572
3.27,3.35,1134,34.45,27.42,74,1.47,1144,3.105388,50.474572
10.4,10.4,0,32.68,25.07,287.7,0,0,3.105388,50.474572
10.22,10.22,8,32.7,25.12,283.5,0.02,8,3.105388,50.474572
10.2,10.2,10,32.694,25.11,283.7,0.02,10,3.105388,50.474572
10.14,10.14,19,32.66,25.1,285.4,0.05,19,3.105388,50.474572
10.14,10.14,20,32.657,25.1,285.7,0.05,20,3.105388,50.474572
10.07,10.07,30,32.641,25.1,285.9,0.08,30,3.105388,50.474572
9.97,9.97,40,33.828065,26.120341,192.307163,0.11,40,3.105388,50.474572
9.71,9.72,50,32.699,25.2,276.5,0.14,50,3.105388,50.474572
9.41,9.42,62,32.79,25.32,265.2,0.17,62,3.105388,50.474572
9.31,9.32,75,32.967,25.47,250.8,0.2,75,3.105388,50.474572
9.26,9.27,84,33.1,25.59,240.3,0.23,84,3.105388,50.474572
9.01,9.02,100,33.286,25.77,223,0.26,101,3.105388,50.474572
8.59,8.6,125,33.533,26.03,198.8,0.32,126,3.105388,50.474572
8.55,8.56,127,33.55,26.05,197,0.32,128,3.105388,50.474572
8.3,8.32,150,33.746,26.24,179.3,0.36,151,3.105388,50.474572
8.16,8.18,164,33.84,26.33,170.5,0.39,165,3.105388,50.474572
7.69,7.71,200,33.863,26.42,162.7,0.45,201,3.105388,50.474572
7.14,7.16,242,33.89,26.52,153.7,0.51,244,3.105388,50.474572
7.06,7.08,250,33.893,26.53,152.5,0.53,252,3.105388,50.474572
6.58,6.61,300,33.91,26.61,145.7,0.6,302,3.105388,50.474572
