R_POTEMP,R_TEMP,R_DEPTH,R_SALINITY,R_SIGMA,R_SVA,R_DYNHT,R_PRES,R_O2,R_O2Sat
5.63,5.68,600,34.274,27.02,110.4,0.97,604,3.105388,50.474572
5.59,5.64,612,34.29,27.04,108.9,0.98,616,3.105388,50.474572
5.19,5.25,700,34.328,27.12,102.1,1.07,705,3.105388,50.474572
4.77,4.83,800,34.373,27.2,94.6,1.17,806,3.105388,50.474572
4.35,4.42,900,34.422,27.29,86.9,1.26,907,3.105388,50.474572
4.28,4.35,917,34.43,27.3,85.6,1.28,924,3.105388,50.474572
9.004084,4.11,1000,33.828065,26.120341,192.307163,0.587048,1010,3.105388,50.474572
9.004084,3.83,1100,33.828065,26.120341,192.307163,0.587048,1111,3.105388,50.474572
9.004084,3.54,1200,33.828065,26.120341,192.307163,0.587048,1212,3.105388,50.474572
9.004084,3.36,1263,34.65,26.120341,192.307163,0.587048,1276,3.105388,50.474572
13.65,13.65,0,33.51,25.1,284.4,0,0,3.105388,50.474572
13.71,13.71,8,33.49,25.08,287.3,0.02,8,3.105388,50.474572
13.71,13.71,10,33.48,25.07,288.1,0.02,10,3.105388,50.474572
13.68,13.68,20,33.433,25.04,291.2,0.05,20,3.105388,50.474572
13.67,13.67,23,33.42,25.03,292,0.06,23,3.105388,50.474572
13.69,13.69,30,33.427,25.03,292.1,0.08,30,3.105388,50.474572
13.71,13.72,44,33.44,25.04,292.1,0.12,44,3.105388,50.474572
13.54,13.55,50,33.436,25.07,289.2,0.14,50,3.105388,50.474572
12.78,12.79,68,33.4,25.19,277.8,0.19,68,3.105388,50.474572
12.41,12.42,75,33.368,25.24,273.5,0.21,75,3.105388,50.474572
11.51,11.52,92,33.3,25.36,262.7,0.26,92,3.105388,50.474572
11.15,11.16,100,33.291,25.41,257.3,0.28,100,3.105388,50.474572
10.17,10.18,125,33.333,25.62,238.2,0.34,126,3.105388,50.474572
9.72,9.74,139,33.4,25.74,226.4,0.37,140,3.105388,50.474572
9.44,9.46,150,33.494,25.86,215.3,0.4,151,3.105388,50.474572
8.74,8.76,184,33.8,26.21,182.4,0.46,185,3.105388,50.474572
8.48,8.5,200,33.865,26.31,174,0.49,201,3.105388,50.474572
7.78,7.8,250,33.977,26.5,156.3,0.57,251,3.105388,50.474572
7.48,7.51,276,33.98,26.54,152.4,0.61,278,3.105388,50.474572
7.16,7.19,300,34.011,26.61,146,0.65,302,3.105388,50.474572
6.42,6.45,366,34.09,26.78,131.1,0.74,368,3.105388,50.474572
6.35,6.39,400,34.154,26.83,126,0.79,403,3.105388,50.474572
6.19,6.23,500,34.299,26.97,114.5,0.91,503,3.105388,50.474572
6.13,6.18,532,34.33,27,111.9,0.94,536,3.105388,50.474572
5.78,5.83,600,34.382,27.09,104.4,1.02,604,3.105388,50.474572
5.2,5.26,700,34.431,27.2,94.6,1.12,705,3.105388,50.474572
4.65,4.71,789,34.45,27.27,87.3,1.2,795,3.105388,50.474572
4.61,4.67,800,34.448,27.28,87.1,1.21,806,3.105388,50.474572
4.28,4.35,900,34.43,27.3,85.4,1.29,907,3.105388,50.474572
3.95,4.03,1000,34.415,27.32,83.6,1.38,1008,3.105388,50.474572
3.63,3.71,1100,34.401,27.34,81.6,1.46,1109,3.105388,50.474572
3.61,3.69,1105,34.4,27.34,81.5,1.46,1114,3.105388,50.474572
13.6,13.6,0,33.4,25.03,291.6,0,0,3.105388,50.474572
13.61,13.61,9,33.33,24.97,297.1,0.02,9,3.105388,50.474572
13.61,13.61,10,33.331,24.97,297.1,0.02,10,3.105388,50.474572
13.57,13.57,20,33.344,24.99,295.6,0.05,20,3.105388,50.474572
13.54,13.54,26,33.35,25,294.7,0.07,26,3.105388,50.474572
13.53,13.53,30,33.358,25.01,294,0.08,30,3.105388,50.474572
13.46,13.47,49,33.39,25.05,291,0.14,49,3.105388,50.474572
13.45,13.46,50,33.389,25.05,290.9,0.14,50,3.105388,50.474572
12.99,13,75,33.295,25.07,289.7,0.22,75,3.105388,50.474572
12.84,12.85,80,33.26,25.07,289.5,0.23,80,3.105388,50.474572
11.9,11.91,100,33.274,25.26,271.7,0.29,100,3.105388,50.474572
11.79,11.8,102,33.28,25.29,269.3,0.29,102,3.105388,50.474572
10.44,10.45,125,33.431,25.65,235.4,0.35,126,3.105388,50.474572
9.16,9.18,150,33.641,26.02,200,0.4,151,3.105388,50.474572
9.07,9.09,152,33.66,26.05,197.2,0.41,153,3.105388,50.474572
8.43,8.45,200,33.867,26.32,173.1,0.5,201,3.105388,50.474572
8.43,8.45,201,33.87,26.32,172.9,0.5,202,3.105388,50.474572
7.77,7.79,250,33.87,26.42,164.1,0.58,251,3.105388,50.474572
7.15,7.18,300,33.87,26.5,156.3,0.66,302,3.105388,50.474572
6.36,6.4,400,34.061,26.76,133.1,0.81,402,3.105388,50.474572
6.34,6.38,404,34.07,26.77,132.2,0.81,407,3.105388,50.474572
5.8,5.84,500,34.205,26.95,116.4,0.93,503,3.105388,50.474572
5.29,5.34,600,34.322,27.1,102.5,1.04,604,3.105388,50.474572
9.004084,5.26,610,34.4,26.120341,192.307163,1.05,614,3.105388,50.474572
4.86,4.92,700,34.412,27.22,91.7,1.13,705,3.105388,50.474572
4.51,4.57,800,34.476,27.31,83.7,1.22,806,3.105388,50.474572
4.24,4.31,896,34.51,27.37,79,1.3,903,3.105388,50.474572
4.23,4.3,900,34.511,27.37,78.8,1.3,907,3.105388,50.474572
3.93,4.01,1000,34.53,27.41,74.8,1.38,1008,3.105388,50.474572
3.63,3.71,1100,34.55,27.46,70.6,1.45,1109,3.105388,50.474572
3.33,3.42,1200,34.572,27.51,66.3,1.52,1211,3.105388,50.474572
3.23,3.32,1235,34.58,27.52,64.8,1.54,1246,3.105388,50.474572
13.3,13.3,0,33.44,25.12,282.9,0,0,3.105388,50.474572
13.35,13.35,8,33.28,24.99,295.8,0.02,8,3.105388,50.474572
13.32,13.32,10,33.275,24.99,295.6,0.02,10,3.105388,50.474572
13.11,13.11,20,33.236,25,294.8,0.05,20,3.105388,50.474572
12.98,12.98,25,33.21,25.01,294.3,0.07,25,3.105388,50.474572
12.92,12.92,30,33.199,25.01,294.1,0.08,30,3.105388,50.474572
12.77,12.78,46,33.19,25.03,292.6,0.13,46,3.105388,50.474572
12.74,12.75,50,33.192,25.04,292,0.14,50,3.105388,50.474572
12.63,12.64,71,33.24,25.1,286.9,0.2,71,3.105388,50.474572
12.61,12.62,75,33.254,25.11,285.6,0.21,75,3.105388,50.474572
12.51,12.52,96,33.39,25.24,274.2,0.27,96,3.105388,50.474572
12.3,12.31,100,33.407,25.29,269.2,0.28,100,3.105388,50.474572
10.87,10.89,125,33.519,25.64,236.3,0.35,126,3.105388,50.474572
9.65,9.67,144,33.62,25.93,209.1,0.39,145,3.105388,50.474572
9.47,9.49,150,33.661,25.99,203.4,0.4,151,3.105388,50.474572
8.64,8.66,191,33.91,26.32,172.9,0.48,192,3.105388,50.474572
8.48,8.5,200,33.938,26.36,168.6,0.49,201,3.105388,50.474572
7.74,7.76,250,34.035,26.55,151.4,0.57,251,3.105388,50.474572
7.33,7.36,286,34.04,26.61,146,0.63,288,3.105388,50.474572
7.19,7.22,300,34.04,26.63,144.2,0.65,302,3.105388,50.474572
6.55,6.58,379,34.04,26.72,136.7,0.76,381,3.105388,50.474572
6.4,6.44,400,34.049,26.75,134.5,0.79,402,3.105388,50.474572
5.81,5.85,500,34.113,26.87,123.3,0.92,503,3.105388,50.474572
5.55,5.6,552,34.16,26.94,117.3,0.98,556,3.105388,50.474572
5.32,5.37,600,34.217,27.01,110.7,1.03,604,3.105388,50.474572
4.86,4.92,700,34.334,27.16,97.5,1.14,705,3.105388,50.474572
4.47,4.53,800,34.444,27.29,85.6,1.23,806,3.105388,50.474572
4.31,4.38,843,34.49,27.34,80.8,1.27,849,3.105388,50.474572
4.15,4.22,900,34.501,27.37,78.6,1.31,907,3.105388,50.474572
3.85,3.93,1000,34.522,27.42,74.5,1.39,1008,3.105388,50.474572
3.56,3.64,1100,34.544,27.46,70.2,1.46,1109,3.105388,50.474572
3.36,3.45,1168,34.56,27.5,67.3,1.51,1178,3.105388,50.474572
13.89,13.89,0,33.42,24.99,295.7,0,0,3.105388,50.474572
13.94,13.94,9,33.51,25.04,290.4,0.02,9,3.105388,50.474572
13.94,13.94,10,33.507,25.04,290.6,0.02,10,3.105388,50.474572
13.93,13.93,20,33.458,25.01,294.3,0.05,20,3.105388,50.474572
13.92,13.92,25,33.42,24.98,297,0.07,25,3.105388,50.474572
13.84,13.84,30,33.409,24.99,296.3,0.08,30,3.105388,50.474572
13.47,13.48,48,33.35,25.02,294.1,0.14,48,3.105388,50.474572
13.46,13.47,50,33.351,25.02,293.9,0.14,50,3.105388,50.474572
13.06,13.07,75,33.31,25.07,289.9,0.22,75,3.105388,50.474572
11.72,11.73,100,33.328,25.34,264.5,0.28,100,3.105388,50.474572
11.66,11.67,101,33.33,25.35,263.3,0.29,101,3.105388,50.474572
10.51,10.52,125,33.401,25.61,238.8,0.35,126,3.105388,50.474572
9.53,9.55,150,33.51,25.86,215.5,0.4,151,3.105388,50.474572
8.6,8.62,197,33.75,26.2,184.3,0.5,198,3.105388,50.474572
8.55,8.57,200,33.757,26.21,183,0.5,201,3.105388,50.474572
7.79,7.81,250,33.843,26.39,166.4,0.59,251,3.105388,50.474572
7.24,7.27,296,33.86,26.48,158.2,0.67,298,3.105388,50.474572
7.2,7.23,300,33.864,26.49,157.4,0.67,302,3.105388,50.474572
6.45,6.49,397,33.96,26.67,141.7,0.82,399,3.105388,50.474572
6.43,6.47,400,33.962,26.67,141.3,0.82,402,3.105388,50.474572
5.86,5.9,500,34.02,26.79,130.9,0.96,503,3.105388,50.474572
9.004084,5.25,595,34.14,26.120341,192.307163,1.08,599,3.105388,50.474572
5.34,5.39,600,34.08,26.9,121.1,1.08,604,3.105388,50.474572
4.91,4.97,700,34.142,27,112.4,1.2,705,3.105388,50.474572
4.56,4.62,800,34.207,27.09,104.3,1.31,806,3.105388,50.474572
4.33,4.4,876,34.11,26.120341,192.307163,1.38,883,3.105388,50.474572
4.26,4.33,900,34.273,27.18,96.8,1.41,907,3.105388,50.474572
3.95,4.03,1000,34.342,27.26,89,1.5,1008,3.105388,50.474572
3.65,3.73,1100,34.412,27.35,81,1.59,1109,3.105388,50.474572
3.34,3.43,1200,34.485,27.44,72.8,1.66,1210,3.105388,50.474572
3.32,3.41,1207,34.49,27.44,72.3,1.67,1217,3.105388,50.474572
14.4,14.4,0,33.24,24.74,319.1,0,0,3.105388,50.474572
14.23,14.23,9,33.42,24.91,302.7,0.02,9,3.105388,50.474572
14.23,14.23,10,33.419,24.91,302.8,0.03,10,3.105388,50.474572
14.21,14.21,20,33.407,24.91,303.6,0.06,20,3.105388,50.474572
14.2,14.2,26,33.4,24.91,304,0.08,26,3.105388,50.474572
13.97,13.97,30,33.37,24.93,301.8,0.09,30,3.105388,50.474572
12.71,12.72,49,33.24,25.08,287.8,0.14,49,3.105388,50.474572
12.69,12.7,50,33.239,25.09,287.6,0.15,50,3.105388,50.474572
12.1,12.11,74,33.26,25.21,275.7,0.21,74,3.105388,50.474572
12.03,12.04,75,33.259,25.23,274.6,0.22,75,3.105388,50.474572
10.2,10.21,100,33.3,25.59,240.7,0.28,100,3.105388,50.474572
9.29,9.3,125,33.546,25.93,208.4,0.34,126,3.105388,50.474572
8.84,8.86,149,33.78,26.18,184.8,0.38,150,3.105388,50.474572
8.82,8.84,150,33.78,26.19,184.5,0.39,151,3.105388,50.474572
8.17,8.19,198,33.78,26.29,175.7,0.47,199,3.105388,50.474572
8.14,8.16,200,33.784,26.29,175,0.48,201,3.105388,50.474572
7.55,7.57,250,33.89,26.46,159.5,0.56,251,3.105388,50.474572
7.02,7.05,300,34.02,26.64,143.4,0.64,302,3.105388,50.474572
6.22,6.26,400,34.129,26.83,126.1,0.77,402,3.105388,50.474572
6.21,6.25,402,34.13,26.83,126,0.77,404,3.105388,50.474572
5.7,5.74,500,34.135,26.9,120.3,0.89,503,3.105388,50.474572
5.29,5.34,600,34.14,26.96,116,1.01,604,3.105388,50.474572
5.27,5.32,605,34.14,26.96,115.9,1.02,609,3.105388,50.474572
4.81,4.87,700,34.248,27.1,103.3,1.12,705,3.105388,50.474572
4.36,4.42,800,34.368,27.24,89.9,1.22,806,3.105388,50.474572
3.95,4.02,898,34.49,27.38,77,1.3,905,3.105388,50.474572
3.94,4.01,900,34.49,27.38,76.9,1.3,907,3.105388,50.474572
3.69,3.76,1000,34.495,27.41,74.4,1.38,1008,3.105388,50.474572
3.43,3.51,1100,34.5,27.44,71.9,1.45,1109,3.105388,50.474572
3.17,3.26,1200,34.507,27.47,69.2,1.52,1210,3.105388,50.474572
3.07,3.16,1238,34.51,27.48,68.1,1.55,1249,3.105388,50.474572
13.4,13.4,0,33.28,24.98,296.5,0,0,3.105388,50.474572
13.05,13.05,9,33.28,25.05,290.1,0.02,9,3.105388,50.474572
13,13,10,33.276,25.05,289.5,0.02,10,3.105388,50.474572
12.58,12.58,20,33.234,25.1,285,0.05,20,3.105388,50.474572
12.36,12.36,26,33.21,25.13,282.9,0.07,26,3.105388,50.474572
12.34,12.34,30,33.222,25.14,281.7,0.08,30,3.105388,50.474572
12.23,12.24,49,33.26,25.19,277.5,0.13,49,3.105388,50.474572
12.22,12.23,50,33.261,25.19,277.3,0.14,50,3.105388,50.474572
12.05,12.06,75,33.28,25.24,273.4,0.21,75,3.105388,50.474572
11.92,11.93,100,33.307,25.29,269.6,0.27,100,3.105388,50.474572
11.91,11.92,101,33.31,25.29,269.3,0.28,101,3.105388,50.474572
10.71,10.72,125,33.361,25.55,245.1,0.34,126,3.105388,50.474572
9.29,9.31,150,33.49,25.88,213.2,0.4,151,3.105388,50.474572
8.51,8.53,199,33.96,26.38,167.4,0.49,200,3.105388,50.474572
8.5,8.52,200,33.964,26.38,166.9,0.49,201,3.105388,50.474572
7.8,7.82,250,34.035,26.54,152.3,0.57,251,3.105388,50.474572
7.21,7.24,300,34.109,26.68,139.4,0.64,302,3.105388,50.474572
7.2,7.23,301,34.11,26.69,139.2,0.65,303,3.105388,50.474572
6.37,6.41,400,34.14,26.82,127.3,0.78,402,3.105388,50.474572
6.36,6.4,401,34.14,26.82,127.2,0.78,403,3.105388,50.474572
5.85,5.89,500,34.199,26.93,117.4,0.9,503,3.105388,50.474572
5.45,5.5,600,34.269,27.04,108.5,1.01,604,3.105388,50.474572
5.44,5.49,602,34.27,27.04,108.3,1.01,606,3.105388,50.474572
4.95,5.01,700,34.346,27.16,97.7,1.12,705,3.105388,50.474572
4.49,4.55,800,34.415,27.26,88,1.21,806,3.105388,50.474572
4.09,4.16,891,34.47,27.35,80.1,1.28,898,3.105388,50.474572
4.07,4.14,900,34.47,27.35,80,1.29,907,3.105388,50.474572
3.8,3.88,1000,34.469,27.38,77.8,1.37,1008,3.105388,50.474572
3.54,3.62,1100,34.469,27.41,75.5,1.45,1109,3.105388,50.474572
3.27,3.36,1200,34.47,27.43,73.1,1.52,1210,3.105388,50.474572
3.2,3.29,1227,34.47,27.44,72.5,1.54,1238,3.105388,50.474572
13.9,13.9,0,33.31,24.9,304,0,0,3.105388,50.474572
14.02,14.02,9,33.31,24.87,306.6,0.02,9,3.105388,50.474572
14.01,14.01,10,33.313,24.88,306.2,0.03,10,3.105388,50.474572
13.88,13.88,20,33.338,24.92,302.1,0.06,20,3.105388,50.474572
13.77,13.77,25,33.35,24.96,299.2,0.07,25,3.105388,50.474572
13.68,13.68,30,33.343,24.97,298.1,0.09,30,3.105388,50.474572
13.41,13.42,47,33.3,24.99,296.6,0.14,47,3.105388,50.474572
13.4,13.41,50,33.298,24.99,296.7,0.15,50,3.105388,50.474572
13.35,13.36,72,33.28,24.99,297.6,0.21,72,3.105388,50.474572
13.36,13.37,75,33.269,24.98,298.6,0.22,75,3.105388,50.474572
13.39,13.4,98,33.19,24.91,305.6,0.29,98,3.105388,50.474572
13.37,13.38,100,33.195,24.92,304.9,0.3,100,3.105388,50.474572
13.07,13.09,125,33.251,25.02,295.8,0.37,126,3.105388,50.474572
12.82,12.84,146,33.3,25.11,288,0.43,147,3.105388,50.474572
12.61,12.63,150,33.308,25.15,283.5,0.44,151,3.105388,50.474572
10.11,10.13,194,33.46,25.73,229.4,0.56,195,3.105388,50.474572
9.91,9.93,200,33.503,25.79,223.1,0.57,201,3.105388,50.474572
8.61,8.64,250,33.851,26.27,178,0.67,251,3.105388,50.474572
8.09,8.12,293,34.11,26.56,151.8,0.74,295,3.105388,50.474572
8,8.03,300,34.107,26.57,150.8,0.75,302,3.105388,50.474572
7.02,7.06,392,34.13,26.73,136.7,0.88,394,3.105388,50.474572
6.95,6.99,400,34.133,26.74,135.6,0.89,402,3.105388,50.474572
6.1,6.14,500,34.175,26.88,122.5,1.02,503,3.105388,50.474572
5.49,5.54,587,34.22,26.99,112.5,1.13,591,3.105388,50.474572
5.43,5.48,600,34.226,27.01,111.4,1.14,604,3.105388,50.474572
4.94,5,700,34.274,27.1,103,1.25,705,3.105388,50.474572
4.46,4.52,800,34.326,27.2,94.3,1.35,806,3.105388,50.474572
4.15,4.22,862,34.36,27.26,88.7,1.4,868,3.105388,50.474572
14.4,14.4,0,33.51,24.95,299.3,0,0,3.105388,50.474572
14.43,14.43,9,33.66,25.06,289.1,0.02,9,3.105388,50.474572
14.43,14.43,10,33.657,25.06,289.3,0.02,10,3.105388,50.474572
14.42,14.42,20,33.586,25,294.6,0.05,20,3.105388,50.474572
14.41,14.41,26,33.51,24.95,300.2,0.07,26,3.105388,50.474572
14.4,14.4,30,33.51,24.95,300.1,0.08,30,3.105388,50.474572
14.35,14.36,48,33.51,24.96,299.7,0.14,48,3.105388,50.474572
14.32,14.33,50,33.499,24.96,300,0.14,50,3.105388,50.474572
13.92,13.93,74,33.35,24.93,303.6,0.22,74,3.105388,50.474572
13.91,13.92,75,33.353,24.93,303.2,0.22,75,3.105388,50.474572
13.71,13.72,99,33.48,25.07,290.5,0.29,99,3.105388,50.474572
13.7,13.71,100,33.478,25.07,290.5,0.29,100,3.105388,50.474572
13.48,13.5,125,33.485,25.12,286.5,0.37,126,3.105388,50.474572
13.29,13.31,148,33.49,25.16,283.1,0.43,149,3.105388,50.474572
13.16,13.18,150,33.488,25.19,280.7,0.44,151,3.105388,50.474572
9.89,9.91,196,33.53,25.82,220.7,0.55,197,3.105388,50.474572
9.73,9.75,200,33.549,25.86,216.7,0.56,201,3.105388,50.474572
8.29,8.32,250,33.796,26.28,177.3,0.66,251,3.105388,50.474572
7.84,7.87,296,34.02,26.52,154.8,0.74,298,3.105388,50.474572
7.79,7.82,300,34.032,26.54,153.3,0.74,302,3.105388,50.474572
6.78,6.82,395,34.22,26.83,126.8,0.87,397,3.105388,50.474572
6.73,6.77,400,34.22,26.84,126.2,0.88,402,3.105388,50.474572
5.87,5.91,500,34.22,26.95,116.2,1,503,3.105388,50.474572
5.21,5.26,594,34.22,27.03,109,1.11,598,3.105388,50.474572
5.18,5.23,600,34.225,27.04,108.4,1.11,604,3.105388,50.474572
4.68,4.74,700,34.314,27.16,96.8,1.22,705,3.105388,50.474572
4.29,4.35,800,34.41,27.28,86,1.31,806,3.105388,50.474572
4.06,4.13,878,34.49,27.37,78.1,1.37,885,3.105388,50.474572
4.01,4.08,900,34.496,27.38,77.3,1.39,907,3.105388,50.474572
3.76,3.84,1000,34.522,27.43,73.4,1.47,1008,3.105388,50.474572
3.53,3.61,1100,34.55,27.47,69.4,1.54,1109,3.105388,50.474572
3.29,3.38,1200,34.578,27.52,65.4,1.6,1210,3.105388,50.474572
3.27,3.36,1207,34.58,27.52,65.1,1.61,1217,3.105388,50.474572
15.6,15.6,0,33.86,24.96,298.4,0,0,3.105388,50.474572
15.64,15.64,8,33.8,24.9,303.9,0.02,8,3.105388,50.474572
15.63,15.63,10,33.796,24.9,304,0.03,10,3.105388,50.474572
15.53,15.53,20,33.766,24.9,304.4,0.06,20,3.105388,50.474572
15.48,15.48,24,33.75,24.9,304.6,0.07,24,3.105388,50.474572
15.45,15.45,30,33.758,24.91,303.6,0.09,30,3.105388,50.474572
15.4,15.41,46,33.8,24.95,300.1,0.13,46,3.105388,50.474572
15.38,15.39,50,33.809,24.97,299.1,0.15,50,3.105388,50.474572
15.29,15.3,70,33.84,25.01,295.5,0.21,70,3.105388,50.474572
15.29,15.3,75,33.836,25.01,296,0.22,75,3.105388,50.474572
15.27,15.28,94,33.82,25,297.2,0.28,94,3.105388,50.474572
15.05,15.07,100,33.786,25.02,295.5,0.3,100,3.105388,50.474572
13.86,13.88,125,33.643,25.16,282.4,0.37,126,3.105388,50.474572
12.97,12.99,139,33.57,25.29,270.8,0.41,140,3.105388,50.474572
12.29,12.31,150,33.561,25.41,259,0.44,151,3.105388,50.474572
10.32,10.34,184,33.62,25.82,220.8,0.52,185,3.105388,50.474572
9.77,9.79,200,33.676,25.95,208,0.55,201,3.105388,50.474572
8.6,8.63,250,33.864,26.29,176.9,0.65,251,3.105388,50.474572
8.33,8.36,276,33.96,26.4,166.2,0.69,277,3.105388,50.474572
8.02,8.05,300,34.024,26.5,157.2,0.73,302,3.105388,50.474572
7.38,7.42,369,34.16,26.7,139.2,0.83,371,3.105388,50.474572
7.18,7.22,400,34.193,26.75,134.4,0.88,402,3.105388,50.474572
6.63,6.68,500,34.26,26.88,123.4,1,503,3.105388,50.474572
6.39,6.44,555,34.27,26.92,120.2,1.07,559,3.105388,50.474572
6.09,6.14,600,34.292,26.98,115.1,1.12,604,3.105388,50.474572
5.44,5.5,700,34.341,27.1,104.3,1.23,705,3.105388,50.474572
4.81,4.88,800,34.388,27.21,94.1,1.33,806,3.105388,50.474572
4.65,4.72,827,34.4,27.23,91.5,1.36,833,3.105388,50.474572
4.41,4.48,900,34.425,27.28,87.4,1.42,907,3.105388,50.474572
4.08,4.16,1000,34.46,27.34,81.8,1.51,1008,3.105388,50.474572
3.76,3.84,1100,34.497,27.41,76.1,1.59,1109,3.105388,50.474572
3.56,3.65,1159,34.52,27.44,72.6,1.63,1169,3.105388,50.474572
15.3,15.3,0,33.75,24.94,300.2,0,0,3.105388,50.474572
15.38,15.38,9,33.78,24.94,299.9,0.02,9,3.105388,50.474572
15.38,15.38,10,33.782,24.95,299.8,0.03,10,3.105388,50.474572
15.37,15.37,20,33.806,24.97,298.1,0.06,20,3.105388,50.474572
15.36,15.36,26,33.82,24.98,297,0.07,26,3.105388,50.474572
15.36,15.36,30,33.817,24.98,297.3,0.09,30,3.105388,50.474572
15.32,15.33,49,33.8,24.97,298.5,0.14,49,3.105388,50.474572
15.31,15.32,50,33.798,24.97,298.5,0.14,50,3.105388,50.474572
15.17,15.18,75,33.771,24.98,298.2,0.22,75,3.105388,50.474572
15.16,15.17,76,33.77,24.99,298.1,0.22,76,3.105388,50.474572
14.54,14.55,100,33.615,25,297.3,0.29,100,3.105388,50.474572
14.48,14.49,102,33.6,25,297.2,0.3,102,3.105388,50.474572
13.95,13.97,125,33.586,25.1,288.4,0.37,126,3.105388,50.474572
13.17,13.19,150,33.615,25.28,271.6,0.44,151,3.105388,50.474572
13.1,13.12,152,33.62,25.3,269.9,0.44,153,3.105388,50.474572
10.19,10.21,200,33.62,25.84,219,0.56,201,3.105388,50.474572
10,10.02,203,33.62,25.87,215.9,0.57,204,3.105388,50.474572
8.57,8.6,250,33.799,26.24,181.2,0.66,251,3.105388,50.474572
7.79,7.82,300,33.997,26.51,155.9,0.74,302,3.105388,50.474572
7.75,7.78,306,34.02,26.54,153.7,0.75,308,3.105388,50.474572
6.65,6.69,400,34.136,26.78,131.3,0.89,402,3.105388,50.474572
6.58,6.62,409,34.14,26.79,130.2,0.9,411,3.105388,50.474572
5.98,6.02,500,34.228,26.94,117,1.01,503,3.105388,50.474572
5.52,5.57,600,34.302,27.06,106.9,1.12,604,3.105388,50.474572
5.47,5.52,614,34.31,27.07,105.9,1.14,618,3.105388,50.474572
5.05,5.11,700,34.352,27.15,98.6,1.23,705,3.105388,50.474572
4.61,4.67,800,34.391,27.23,91.3,1.32,806,3.105388,50.474572
4.22,4.29,900,34.418,27.3,85.6,1.41,907,3.105388,50.474572
4.19,4.26,907,34.42,27.3,85.2,1.42,914,3.105388,50.474572
3.94,4.02,1000,34.444,27.35,81.3,1.49,1008,3.105388,50.474572
3.68,3.76,1100,34.47,27.39,77.1,1.57,1109,3.105388,50.474572
3.41,3.5,1200,34.497,27.44,72.8,1.65,1210,3.105388,50.474572
3.29,3.38,1245,34.51,27.46,70.7,1.68,1256,3.105388,50.474572
15.65,15.65,0,33.77,24.88,306.1,0,0,3.105388,50.474572
15.61,15.61,9,33.82,24.92,301.8,0.02,9,3.105388,50.474572
15.59,15.59,10,33.818,24.93,301.6,0.03,10,3.105388,50.474572
15.37,15.37,20,33.779,24.95,300.1,0.06,20,3.105388,50.474572
15.24,15.24,25,33.75,24.95,299.6,0.07,25,3.105388,50.474572
15.19,15.19,30,33.755,24.97,298.3,0.09,30,3.105388,50.474572
15.06,15.07,48,33.77,25.01,295.2,0.14,48,3.105388,50.474572
15.03,15.04,50,33.76,25.01,295.4,0.15,50,3.105388,50.474572
14.69,14.7,72,33.64,24.99,297.8,0.21,72,3.105388,50.474572
14.65,14.66,75,33.633,24.99,297.5,0.22,75,3.105388,50.474572
14.41,14.42,97,33.6,25.02,295.7,0.28,97,3.105388,50.474572
14.38,14.39,100,33.593,25.02,295.6,0.29,100,3.105388,50.474572
14.1,14.12,125,33.533,25.03,295.3,0.37,126,3.105388,50.474572
13.91,13.93,143,33.49,25.04,295.1,0.42,144,3.105388,50.474572
13.43,13.45,150,33.48,25.13,286.5,0.44,151,3.105388,50.474572
10.46,10.48,189,33.53,25.72,229.9,0.54,190,3.105388,50.474572
10,10.02,200,33.58,25.84,218.8,0.57,201,3.105388,50.474572
8.53,8.56,250,33.815,26.26,179.4,0.67,251,3.105388,50.474572
8.12,8.15,284,33.96,26.43,163.2,0.72,285,3.105388,50.474572
7.85,7.88,300,33.99,26.5,157.3,0.75,302,3.105388,50.474572
6.77,6.81,379,34.07,26.71,137.6,0.87,381,3.105388,50.474572
6.58,6.62,400,34.091,26.75,133.7,0.89,402,3.105388,50.474572
5.78,5.82,500,34.127,26.89,121.9,1.02,503,3.105388,50.474572
9.004084,8.974335,570,34.16,26.120341,192.307163,1.11,574,3.105388,50.474572
5.15,5.2,600,34.267,27.07,104.9,1.14,604,3.105388,50.474572
4.71,4.77,700,34.334,27.17,95.7,1.24,705,3.105388,50.474572
4.46,4.52,800,34.383,27.24,90.1,1.33,806,3.105388,50.474572
4.4,4.47,851,34.4,27.26,88.6,1.38,857,3.105388,50.474572
4.24,4.31,900,34.422,27.3,85.6,1.42,907,3.105388,50.474572
3.92,4,1000,34.468,27.37,79.3,1.5,1008,3.105388,50.474572
3.6,3.68,1100,34.515,27.44,72.8,1.58,1109,3.105388,50.474572
3.3,3.39,1192,34.56,27.5,66.8,1.64,1202,3.105388,50.474572
14.6,14.6,0,33.53,24.92,301.8,0,0,3.105388,50.474572
14.83,14.83,9,33.46,24.82,311.9,0.02,9,3.105388,50.474572
14.85,14.85,10,33.467,24.82,311.8,0.03,10,3.105388,50.474572
15.01,15.01,20,33.562,24.86,308.5,0.06,20,3.105388,50.474572
15.05,15.05,26,33.64,24.91,303.7,0.08,26,3.105388,50.474572
15.03,15.03,30,33.64,24.91,303.4,0.09,30,3.105388,50.474572
14.86,14.87,48,33.64,24.95,300.6,0.14,48,3.105388,50.474572
14.85,14.86,50,33.64,24.95,300.4,0.15,50,3.105388,50.474572
14.74,14.75,74,33.64,24.98,298.8,0.22,74,3.105388,50.474572
14.74,14.75,75,33.641,24.98,298.8,0.22,75,3.105388,50.474572
